product,origin,price,url
Pomelo chinois ( la pièce ) ,CHINE,0.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556231947_PHOTOSITE_20160318_163924_0.jpg?placeholder=1
Pomelo Bio Corse CARREFOUR ( la pièce ) ,FRANCE,1.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680459465_PHOTOSITE_20210330_202628_0.jpg?placeholder=1
Clémentines ( le kilo ) ,MAROC,1.29€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000000032862_PHOTOSITE_20191015_155424_0.jpg?placeholder=1
Mandarine ( le filet de 1.5Kg ) ,ESPAGNE,2.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680345140_PHOTOSITE_20190127_064839_0.jpg?placeholder=1
Mandarine feuille ( le kilo ) ,ESPAGNE,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552299729_PHOTOSITE_20191210_194332_0.jpg?placeholder=1
Mandarines à jus ( le filet de 2 kg ) ,ESPAGNE,1.79€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276559577943_PHOTOSITE_20140327_180230_0.jpg?placeholder=1
Mandarines ( le plateau de 2.3 kg ) ,ESPAGNE,2.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554565167_PHOTOSITE_20150616_083347_0.jpg?placeholder=1
Mandarines vrac MANDARINE ( le kilo ) ,ISRAEL,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000000033098_PHOTOSITE_20200201_060858_0.jpg?placeholder=1
Citron jaune Primofiori ( la pièce ) ,ESPAGNE,0.60€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001032670_PHOTOSITE_20160318_163819_0.jpg?placeholder=1
Citron à jus Primofiori ( le filet de 2 kg ) ,ESPAGNE,2.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680330221_PHOTOSITE_20161007_162002_0.jpg?placeholder=1
